Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),DEPTH
XRP_USDT,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$94.2K / $94.2K
XYO_USDT,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$729 / $1.3K
ZKSync_USDT,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$5.2K / $5.9K
USDT_CNGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$65.60M / $65.60M
BTC_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$2945.84M / $2945.84M
USDT_NGN,WARNING,00:02:22,WARNING,00:59:45,WARNING,04:59:39,WARNING,07:33:18,WARNING,10:19:04,WARNING,12:02:57,WARNING,13:18:38,WARNING,15:16:21,WARNING,16:55:12,WARNING,18:26:21,WARNING,18:39:37,CHECKED,20:49:14,WARNING,21:26:29,$70.95M / $73.97M
QDX_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,WARNING,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$1.01M / $1.12M
ETH_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$1582.47M / $1582.47M
TRX_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$442.04M / $442.04M
XRP_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$242.60M / $242.60M
DASH_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,WARNING,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$47.95M / $47.95M
LTC_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$295.17M / $295.17M
SOL_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$175.96M / $175.96M
USDC_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$4922.23M / $4922.23M
CNGN_NGN,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$6.15M / $8.52M
USDT_GHS,CHECKED,00:02:22,CHECKED,00:59:45,CHECKED,04:59:39,CHECKED,07:33:18,CHECKED,10:19:04,CHECKED,12:02:57,CHECKED,13:18:38,CHECKED,15:16:21,CHECKED,16:55:12,CHECKED,18:26:21,CHECKED,18:39:37,CHECKED,20:49:14,CHECKED,21:26:29,$2.34M / $3.04M
