Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
USDC_USDT,CHECKED,02:26:03,,CHECKED,06:41:07,,SKIPPED,,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$2.11M / $2.75M
WIF_USDT,CHECKED,02:26:03,A4:MEDIUM,SKIPPED,,,CHECKED,11:40:56,,CHECKED,13:04:22,A4:MEDIUM,CHECKED,14:53:36,,CHECKED,15:28:54,A4:MEDIUM,$4.4K / $4.7K
XLM_USDT,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$23.4K / $32.9K
XRP_USDT,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$120.5K / $120.5K
XYO_USDT,CHECKED,02:26:03,A4:MEDIUM,CHECKED,06:41:07,A4:MEDIUM,CHECKED,11:40:56,A4:MEDIUM,CHECKED,13:04:22,A4:MEDIUM,CHECKED,14:53:36,A4:MEDIUM,CHECKED,15:28:54,A4:MEDIUM,$860 / $1.3K
ZKSync_USDT,CHECKED,02:26:03,,CHECKED,06:41:07,A4:MEDIUM,CHECKED,11:40:56,A4:MEDIUM,CHECKED,13:04:22,A4:MEDIUM,CHECKED,14:53:36,A4:MEDIUM,CHECKED,15:28:54,,$5.2K / $5.7K
USDT_CNGN,WARNING,02:26:03,STALE:HIGH,CHECKED,06:41:07,,CHECKED,11:40:56,,WARNING,13:04:22,STALE:HIGH,CHECKED,14:53:36,,CHECKED,15:28:54,,$33.71M / $33.71M
BTC_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,A2:HIGH,CHECKED,13:04:22,A2:HIGH,CHECKED,14:53:36,,CHECKED,15:28:54,,$2217.48M / $2217.48M
USDT_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,SKIPPED,,,CHECKED,13:04:22,A2:HIGH,CHECKED,14:53:36,A2:HIGH,CHECKED,15:28:54,A2:HIGH,$2699.67M / $2758.65M
QDX_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,SKIPPED,,,CHECKED,14:53:36,,CHECKED,15:28:54,,$984.5K / $1.07M
ETH_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$1074.19M / $1074.19M
TRX_NGN,SKIPPED,,,WARNING,06:41:07,A3:CRITICAL|A2:HIGH,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$513.19M / $513.19M
XRP_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$135.24M / $135.24M
DASH_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$55.89M / $55.89M
LTC_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$270.10M / $270.10M
SOL_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$143.01M / $143.01M
USDC_NGN,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$4176.23M / $6036.67M
CNGN_NGN,SKIPPED,,,CHECKED,06:41:07,,CHECKED,11:40:56,,WARNING,13:04:22,STALE:HIGH,CHECKED,14:53:36,,CHECKED,15:28:54,,$7.56M / $9.36M
USDT_GHS,CHECKED,02:26:03,,CHECKED,06:41:07,,CHECKED,11:40:56,,CHECKED,13:04:22,,CHECKED,14:53:36,,CHECKED,15:28:54,,$4.08M / $5.14M
