Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),DEPTH
SLP_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$5.5K / $5.5K
SOL_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$40.8K / $51.1K
STRK_USDT,CHECKED,02:37:01,A4:MEDIUM,CHECKED,07:46:50,A4:MEDIUM,CHECKED,12:06:53,A4:MEDIUM,CHECKED,15:43:58,A4:MEDIUM,CHECKED,19:13:35,A4:MEDIUM,CHECKED,21:35:15,A4:MEDIUM,$1.2K / $1.3K
SUI_USDT,CHECKED,02:37:01,A4:MEDIUM,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$5.6K / $5.6K
TON_USDT,CHECKED,02:37:01,A2:HIGH,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,A2:HIGH|A4:MEDIUM,$2.1K / $2.1K
TRX_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,A2:HIGH,$57.6K / $74.3K
USDC_USDT,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$1.36M / $1.36M
WIF_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$8.5K / $9.2K
XLM_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$22.6K / $30.0K
XRP_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$127.8K / $127.8K
XYO_USDT,CHECKED,02:37:01,A4:MEDIUM,CHECKED,07:46:50,A4:MEDIUM,CHECKED,12:06:53,A4:MEDIUM,CHECKED,15:43:58,A4:MEDIUM,CHECKED,19:13:35,A4:MEDIUM,CHECKED,21:35:15,A4:MEDIUM,$475 / $709
ZKSync_USDT,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,A4:MEDIUM,CHECKED,15:43:58,A4:MEDIUM,WARNING,19:13:35,A2:HIGH|A4:MEDIUM,CHECKED,21:35:15,,$5.1K / $5.8K
USDT_CNGN,WARNING,02:37:01,STALE:HIGH,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,WARNING,19:13:35,STALE:HIGH,CHECKED,21:35:15,,$33.71M / $33.71M
BTC_NGN,SKIPPED,,,CHECKED,07:46:50,,SKIPPED,,,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$1019.46M / $1019.46M
USDT_NGN,CHECKED,02:37:01,A2:HIGH,CHECKED,07:46:50,A2:HIGH,CHECKED,12:06:53,A2:HIGH,CHECKED,15:43:58,A2:HIGH,CHECKED,19:13:35,A2:HIGH,CHECKED,21:35:15,A2:HIGH,$134.50M / $262.38M
QDX_NGN,CHECKED,02:37:01,,WARNING,07:46:50,A3:CRITICAL|A2:HIGH,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$100.3K / $103.0K
ETH_NGN,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$1162.87M / $1162.87M
TRX_NGN,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$1112.28M / $1112.28M
XRP_NGN,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$91.40M / $99.31M
DASH_NGN,WARNING,02:37:01,A3:CRITICAL|A2:HIGH,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$42.89M / $42.89M
LTC_NGN,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,CHECKED,15:43:58,,WARNING,19:13:35,A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$314.82M / $314.82M
SOL_NGN,CHECKED,02:37:01,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,WARNING,19:13:35,A2:HIGH|A2:HIGH,CHECKED,21:35:15,,$154.64M / $154.64M
USDC_NGN,CHECKED,02:37:01,A2:HIGH,CHECKED,07:46:50,A2:HIGH,CHECKED,12:06:53,A2:HIGH,CHECKED,15:43:58,,CHECKED,19:13:35,,CHECKED,21:35:15,,$5278.62M / $5278.62M
CNGN_NGN,CHECKED,02:37:01,,CHECKED,07:46:50,,WARNING,12:06:53,STALE:HIGH,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$7.56M / $9.36M
USDT_GHS,SKIPPED,,,CHECKED,07:46:50,,CHECKED,12:06:53,,SKIPPED,,,CHECKED,19:13:35,,CHECKED,21:35:15,,$4.13M / $5.03M
