Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),DEPTH
TON_USDT,CHECKED,02:30:10,A4:MEDIUM,CHECKED,06:14:40,A4:MEDIUM,CHECKED,09:09:14,A4:MEDIUM,$2.5K / $3.5K
TRX_USDT,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$588.6K / $588.6K
USDC_USDT,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$1.82M / $2.59M
WIF_USDT,CHECKED,02:30:10,,CHECKED,06:14:40,A4:MEDIUM,CHECKED,09:09:14,,$6.6K / $7.2K
XLM_USDT,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$10.2K / $17.7K
XRP_USDT,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$101.8K / $101.8K
XYO_USDT,CHECKED,02:30:10,A4:MEDIUM,CHECKED,06:14:40,A4:MEDIUM,CHECKED,09:09:14,A4:MEDIUM,$341 / $472
ZKSync_USDT,CHECKED,02:30:10,A4:MEDIUM,WARNING,06:14:40,A2:HIGH|A4:MEDIUM,CHECKED,09:09:14,A4:MEDIUM,$3.4K / $3.9K
USDT_CNGN,WARNING,02:30:10,STALE:HIGH,CHECKED,06:14:40,,CHECKED,09:09:14,,$14.80M / $17.67M
BTC_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$1742.13M / $1742.13M
USDT_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$3753.07M / $4170.52M
QDX_NGN,WARNING,02:30:10,A3:CRITICAL|A2:HIGH,WARNING,06:14:40,A3:CRITICAL|A2:HIGH,WARNING,09:09:14,A3:CRITICAL|A2:HIGH,$0 / $0
ETH_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$996.12M / $996.12M
TRX_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$945.81M / $945.81M
XRP_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$106.81M / $106.81M
DASH_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,A2:HIGH,CHECKED,09:09:14,,$42.74M / $42.74M
LTC_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$240.19M / $240.19M
SOL_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$89.78M / $89.78M
USDC_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$4185.51M / $4185.51M
CNGN_NGN,CHECKED,02:30:10,,CHECKED,06:14:40,,WARNING,09:09:14,STALE:HIGH,$6.73M / $9.18M
USDT_GHS,CHECKED,02:30:10,,CHECKED,06:14:40,,CHECKED,09:09:14,,$3.78M / $4.68M
