Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),DEPTH
QDX_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$6.4K / $6.4K
RENDER_USDT,CHECKED,00:11:26,WARNING,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$11.4K / $12.4K
Sonic_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,WARNING,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$1.2K / $1.9K
SHIB_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$16.6K / $19.0K
SLP_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,WARNING,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$10.2K / $11.3K
SOL_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$23.4K / $26.7K
STRK_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,WARNING,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$976 / $1.1K
SUI_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$4.8K / $4.9K
TON_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$52.1K / $63.4K
TRX_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$790.5K / $790.5K
USDC_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,WARNING,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$573.4K / $827.2K
WIF_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$8.1K / $8.7K
XLM_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$23.1K / $31.9K
XRP_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$133.3K / $133.3K
XYO_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$194 / $631
ZKSync_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$4.0K / $4.4K
USDT_CNGN,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$65.58M / $65.58M
BTC_NGN,CHECKED,00:11:26,WARNING,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$4714.85M / $4714.85M
USDT_NGN,WARNING,00:11:26,WARNING,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,WARNING,09:10:21,CHECKED,10:57:48,WARNING,11:59:02,WARNING,12:35:07,WARNING,15:12:24,WARNING,15:27:58,WARNING,16:47:10,WARNING,18:26:26,WARNING,18:40:27,WARNING,20:51:09,WARNING,21:14:54,WARNING,22:14:31,$279.82M / $308.78M
