Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),DEPTH
USDT_NGN,CHECKED,02:40:26,A2:HIGH,CHECKED,08:31:31,A2:HIGH,CHECKED,09:04:24,A2:HIGH,CHECKED,14:14:05,A2:HIGH,$1170.48M / $1408.16M
QDX_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$1.23M / $1.94M
ETH_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$1298.19M / $1298.19M
TRX_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$485.08M / $485.08M
XRP_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$141.54M / $141.54M
DASH_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$10.57M / $11.76M
LTC_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$138.60M / $138.60M
SOL_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$111.66M / $111.66M
USDC_NGN,CHECKED,02:40:26,,CHECKED,08:31:31,,SKIPPED,,,CHECKED,14:14:05,,$5063.20M / $5063.20M
CNGN_NGN,CHECKED,02:40:26,,WARNING,08:31:31,STALE:HIGH,SKIPPED,,,CHECKED,14:14:05,,$7.52M / $9.32M
USDT_GHS,CHECKED,02:40:26,,CHECKED,08:31:31,,CHECKED,09:04:24,,CHECKED,14:14:05,,$3.56M / $4.76M
