Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),DEPTH
WIF_USDT,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$7.1K / $7.6K
XLM_USDT,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$72.9K / $110.7K
XRP_USDT,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$117.2K / $117.2K
XYO_USDT,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$3.5K / $4.0K
ZKSync_USDT,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$5.6K / $6.4K
USDT_CNGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$65.82M / $65.82M
BTC_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$972.00M / $1699.78M
USDT_NGN,WARNING,00:03:43,WARNING,00:58:23,CHECKED,04:38:55,$2813.76M / $2813.76M
QDX_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$325.0K / $520.3K
ETH_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$2622.08M / $2622.08M
TRX_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$492.72M / $492.72M
XRP_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$262.91M / $262.91M
DASH_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$46.44M / $46.44M
LTC_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$325.72M / $325.72M
SOL_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$252.78M / $252.78M
USDC_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$5631.27M / $5631.27M
CNGN_NGN,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$6.30M / $8.67M
USDT_GHS,CHECKED,00:03:43,CHECKED,00:58:23,CHECKED,04:38:55,$1.28M / $1.80M
